INFO 2025-10-04 23:51:29,844 autoreload Watching for file changes with StatReloader
WARNING 2025-10-04 23:51:36,873 log Not Found: /
WARNING 2025-10-04 23:51:36,874 basehttp "GET / HTTP/1.1" 404 2637
INFO 2025-10-04 23:51:59,392 basehttp "GET /api/auth/register HTTP/1.1" 301 0
WARNING 2025-10-04 23:51:59,422 log Method Not Allowed: /api/auth/register/
WARNING 2025-10-04 23:51:59,422 basehttp "GET /api/auth/register/ HTTP/1.1" 405 13500
WARNING 2025-10-04 23:52:23,614 log Bad Request: /api/auth/register/
WARNING 2025-10-04 23:52:23,614 basehttp "POST /api/auth/register/ HTTP/1.1" 400 13927
WARNING 2025-10-04 23:52:32,287 log Bad Request: /api/auth/register/
WARNING 2025-10-04 23:52:32,288 basehttp "POST /api/auth/register/ HTTP/1.1" 400 13668
INFO 2025-10-04 23:52:38,038 basehttp "POST /api/auth/register/ HTTP/1.1" 201 14650
WARNING 2025-10-04 23:52:57,754 log Method Not Allowed: /api/auth/login/
WARNING 2025-10-04 23:52:57,755 basehttp "GET /api/auth/login/ HTTP/1.1" 405 10389
WARNING 2025-10-04 23:53:31,816 log Unauthorized: /api/auth/login/
WARNING 2025-10-04 23:53:31,816 basehttp "POST /api/auth/login/ HTTP/1.1" 401 10326
WARNING 2025-10-04 23:53:48,704 log Unauthorized: /api/auth/login/
WARNING 2025-10-04 23:53:48,704 basehttp "POST /api/auth/login/ HTTP/1.1" 401 10326
INFO 2025-10-04 23:53:52,651 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-10-04 23:53:52,662 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-10-04 23:54:01,343 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-10-04 23:54:01,356 basehttp "GET /admin/ HTTP/1.1" 200 11555
INFO 2025-10-04 23:54:03,601 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 16478
INFO 2025-10-04 23:54:03,632 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
